spec_id,connectivity,confound,reduction,classifier,domain_granularity,h1_auc_edges,h1_auc_latent,h1_delta_auc,h2_delta_d,h2_p,h3_wilcoxon_p,h3_n_factors,h3_between_gt_within,duration_s,error
20,pearson_z,ols,ica,logistic_l2,domain_7,0.8227102102102102,0.8377794461127795,0.015069235902569367,0.02432910287090287,0.003992015968063872,0.023585311964122724,50,16,80.0555009841919,
21,pearson_z,ols,ica,logistic_l2,subdomain_14,0.8227102102102102,0.8377794461127795,0.015069235902569367,0.02052735196775135,0.03792415169660679,0.08760075247442067,50,20,81.05438113212585,
22,pearson_z,ols,ica,svm_linear,domain_7,0.8424883216549883,0.8452994661327995,0.002811144477811167,0.02432910287090287,0.003992015968063872,0.023585311964122724,50,16,92.96581101417542,
23,pearson_z,ols,ica,svm_linear,subdomain_14,0.8424883216549883,0.8452994661327995,0.002811144477811167,0.02052735196775135,0.03792415169660679,0.08760075247442067,50,20,92.82417917251587,
24,spearman,none,none,logistic_l2,domain_7,0.8780363697030363,,,0.063985838021868,0.001996007984031936,,0,0,20.106828927993774,
25,spearman,none,none,logistic_l2,subdomain_14,0.8780363697030363,,,0.0503889241629672,0.001996007984031936,,0,0,20.247995853424072,
26,spearman,none,none,svm_linear,domain_7,0.8816149482816151,,,0.063985838021868,0.001996007984031936,,0,0,52.06846213340759,
27,spearman,none,none,svm_linear,subdomain_14,0.8816149482816151,,,0.0503889241629672,0.001996007984031936,,0,0,51.99039697647095,
28,spearman,none,fa,logistic_l2,domain_7,0.8780363697030363,0.8223682015348682,-0.05566816816816811,0.063985838021868,0.001996007984031936,0.04826241731643677,25,17,142.48147106170654,
29,spearman,none,fa,logistic_l2,subdomain_14,0.8780363697030363,0.8223682015348682,-0.05566816816816811,0.0503889241629672,0.001996007984031936,0.0006313323974609375,25,19,140.49199604988098,
30,spearman,none,fa,svm_linear,domain_7,0.8816149482816151,0.8249582916249583,-0.05665665665665687,0.063985838021868,0.001996007984031936,0.04826241731643677,25,17,175.61899614334106,
31,spearman,none,fa,svm_linear,subdomain_14,0.8816149482816151,0.8249582916249583,-0.05665665665665687,0.0503889241629672,0.001996007984031936,0.0006313323974609375,25,19,171.21348881721497,
32,spearman,none,ica,logistic_l2,domain_7,0.8780363697030363,0.8695403737070404,-0.00849599599599593,0.063985838021868,0.001996007984031936,0.011529687649083797,50,17,78.59512591362,
33,spearman,none,ica,logistic_l2,subdomain_14,0.8780363697030363,0.8695403737070404,-0.00849599599599593,0.0503889241629672,0.001996007984031936,0.005579489549422334,50,16,80.20024800300598,
34,spearman,none,ica,svm_linear,domain_7,0.8816149482816151,0.8703203203203204,-0.011294627961294768,0.063985838021868,0.001996007984031936,0.011529687649083797,50,17,107.61526918411255,
35,spearman,none,ica,svm_linear,subdomain_14,0.8816149482816151,0.8703203203203204,-0.011294627961294768,0.0503889241629672,0.001996007984031936,0.005579489549422334,50,16,106.60895800590515,
36,spearman,ols,none,logistic_l2,domain_7,0.8373248248248247,,,0.021322651559899347,0.007984031936127744,,0,0,21.08329701423645,
37,spearman,ols,none,logistic_l2,subdomain_14,0.8373248248248247,,,0.021038631416742837,0.03792415169660679,,0,0,23.73853898048401,
38,spearman,ols,none,svm_linear,domain_7,0.8543668668668669,,,0.021322651559899347,0.007984031936127744,,0,0,43.49026107788086,
39,spearman,ols,none,svm_linear,subdomain_14,0.8543668668668669,,,0.021038631416742837,0.03792415169660679,,0,0,39.10915780067444,
40,spearman,ols,fa,logistic_l2,domain_7,0.8373248248248247,0.8195362028695362,-0.01778862195528852,0.021322651559899347,0.007984031936127744,0.0005855560302734375,20,16,139.60588097572327,
41,spearman,ols,fa,logistic_l2,subdomain_14,0.8373248248248247,0.8195362028695362,-0.01778862195528852,0.021038631416742837,0.03792415169660679,8.20159912109375e-05,20,16,139.4970359802246,
42,spearman,ols,fa,svm_linear,domain_7,0.8543668668668669,0.8197280613947282,-0.03463880547213871,0.021322651559899347,0.007984031936127744,0.0005855560302734375,20,16,158.2981550693512,
43,spearman,ols,fa,svm_linear,subdomain_14,0.8543668668668669,0.8197280613947282,-0.03463880547213871,0.021038631416742837,0.03792415169660679,8.20159912109375e-05,20,16,155.01742005348206,
44,spearman,ols,ica,logistic_l2,domain_7,0.8373248248248247,0.8419753086419753,0.004650483817150608,0.021322651559899347,0.007984031936127744,0.0014846473444478647,50,16,85.54696607589722,
45,spearman,ols,ica,logistic_l2,subdomain_14,0.8373248248248247,0.8419753086419753,0.004650483817150608,0.021038631416742837,0.03792415169660679,0.055465717070337206,50,22,79.59142589569092,
46,spearman,ols,ica,svm_linear,domain_7,0.8543668668668669,0.854884050717384,0.0005171838505171333,0.021322651559899347,0.007984031936127744,0.0014846473444478647,50,16,90.42836475372314,
47,spearman,ols,ica,svm_linear,subdomain_14,0.8543668668668669,0.854884050717384,0.0005171838505171333,0.021038631416742837,0.03792415169660679,0.055465717070337206,50,22,90.33582186698914,
